lineno, latest, ghusername1, ghusername2
1,0.5,1,2
1,1,1,2
2,0.5,3,2
2,1,0,2
3,0.2,2,2
3,0.5,3,2
3,0.75,3,2
3,1,1,2
4,0.2,1,2
4,0.5,1,2
4,0,0,2
4,0,2,2
4,1,3,2
5,0,1,2
5,0,1,2
5,0,0,2
5,0,2,2
5,0,3,2
5,0,3,2
5,1,1,2
6,0,1,2
6,0,0,2
6,0,2,2
6,0,3,2
6,0,3,2
6,1,1,2
7,0,1,2
7,0,0,2
7,0,2,2
7,0,3,2
7,0,3,2
7,1,4,2
8,0,2,2
8,0,3,2
8,0,3,2
8,1,1,2
9,0,1,2
9,0,0,2
9,0,2,2
9,0,3,2
9,0,3,2
9,1,1,2
10,0,1,2
10,0,0,2
10,0,2,2
10,0,2,2
10,0,2,2
10,0,2,3
10,0,2,2
10,0,3,2
10,0,3,2
10,1,5,2
11,0,3,2
11,0,3,2
11,0,3,2
11,0,3,2
11,0,3,2
11,0,3,2
11,0,3,2
11,0,3,2
11,0,5,3
11,0,3,5
11,1,5,3